Survived,Pclass,gender,Count
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Survived,3rd Class,female,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Survived,2nd Class,female,1
Survived,3rd Class,female,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Survived,2nd Class,male,1
Deceased,3rd Class,female,1
Survived,3rd Class,female,1
Deceased,2nd Class,male,1
Survived,2nd Class,male,1
Survived,3rd Class,female,1
Survived,1st Class,male,1
Deceased,3rd Class,female,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Survived,1st Class,female,1
Survived,3rd Class,female,1
Deceased,2nd Class,male,1
Deceased,1st Class,male,1
Deceased,1st Class,male,1
Survived,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Survived,3rd Class,female,1
Deceased,3rd Class,female,1
Deceased,2nd Class,female,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Survived,2nd Class,female,1
Deceased,1st Class,male,1
Survived,1st Class,male,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Survived,3rd Class,male,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,1st Class,male,1
Survived,2nd Class,female,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Survived,1st Class,male,1
Survived,2nd Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Survived,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,1st Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Survived,2nd Class,female,1
Deceased,1st Class,male,1
Survived,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Survived,2nd Class,female,1
Deceased,2nd Class,male,1
Deceased,2nd Class,male,1
Survived,1st Class,female,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,female,1
Survived,3rd Class,female,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,2nd Class,male,1
Survived,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Deceased,2nd Class,male,1
Deceased,2nd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,female,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,male,1
Survived,3rd Class,female,1
Deceased,1st Class,male,1
Survived,3rd Class,female,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Deceased,2nd Class,male,1
Survived,3rd Class,female,1
Survived,2nd Class,male,1
Survived,1st Class,female,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,2nd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Survived,3rd Class,female,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Survived,3rd Class,female,1
Deceased,2nd Class,male,1
Survived,1st Class,female,1
Deceased,2nd Class,male,1
Survived,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,female,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Survived,3rd Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Survived,2nd Class,female,1
Deceased,2nd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,female,1
Survived,3rd Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,female,1
Survived,2nd Class,female,1
Survived,1st Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Survived,3rd Class,female,1
Survived,1st Class,female,1
Survived,1st Class,female,1
Survived,1st Class,female,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Survived,1st Class,female,1
Survived,1st Class,female,1
Deceased,1st Class,male,1
Survived,3rd Class,male,1
Survived,2nd Class,female,1
Deceased,1st Class,male,1
Survived,3rd Class,female,1
Survived,1st Class,female,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,male,1
Survived,3rd Class,female,1
Survived,1st Class,female,1
Survived,1st Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,female,1
Survived,1st Class,male,1
Survived,1st Class,female,1
Survived,3rd Class,female,1
Survived,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Survived,1st Class,male,1
Survived,1st Class,female,1
Survived,1st Class,female,1
Deceased,2nd Class,male,1
Survived,1st Class,female,1
Survived,1st Class,female,1
Survived,1st Class,female,1
Deceased,2nd Class,female,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Survived,3rd Class,female,1
Survived,2nd Class,female,1
Deceased,2nd Class,male,1
Survived,1st Class,female,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Survived,3rd Class,female,1
Survived,1st Class,female,1
Survived,3rd Class,female,1
Deceased,1st Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Survived,1st Class,female,1
Survived,3rd Class,male,1
Deceased,1st Class,male,1
Survived,2nd Class,male,1
Survived,1st Class,female,1
Deceased,2nd Class,male,1
Deceased,2nd Class,male,1
Deceased,2nd Class,male,1
Survived,2nd Class,female,1
Survived,2nd Class,female,1
Survived,3rd Class,female,1
Survived,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Deceased,2nd Class,female,1
Survived,3rd Class,female,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Survived,3rd Class,female,1
Survived,3rd Class,female,1
Survived,1st Class,female,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,female,1
Survived,1st Class,female,1
Survived,3rd Class,female,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Survived,1st Class,male,1
Survived,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Deceased,2nd Class,male,1
Survived,2nd Class,female,1
Survived,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Deceased,2nd Class,male,1
Survived,3rd Class,male,1
Deceased,3rd Class,female,1
Survived,2nd Class,female,1
Survived,2nd Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Survived,1st Class,male,1
Survived,3rd Class,female,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,female,1
Survived,2nd Class,female,1
Deceased,1st Class,male,1
Deceased,2nd Class,male,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Survived,3rd Class,male,1
Survived,1st Class,male,1
Survived,2nd Class,female,1
Survived,1st Class,male,1
Survived,3rd Class,female,1
Survived,1st Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Deceased,1st Class,male,1
Survived,1st Class,female,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Survived,2nd Class,female,1
Deceased,3rd Class,female,1
Deceased,1st Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Survived,1st Class,male,1
Deceased,3rd Class,female,1
Survived,1st Class,female,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,female,1
Deceased,3rd Class,female,1
Survived,1st Class,female,1
Deceased,1st Class,male,1
Survived,2nd Class,female,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Survived,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,female,1
Survived,2nd Class,female,1
Deceased,1st Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Survived,1st Class,female,1
Deceased,3rd Class,female,1
Deceased,3rd Class,female,1
Survived,2nd Class,male,1
Deceased,1st Class,male,1
Deceased,1st Class,male,1
Survived,2nd Class,female,1
Survived,2nd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,male,1
Survived,1st Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,1st Class,male,1
Survived,1st Class,female,1
Deceased,1st Class,male,1
Survived,1st Class,female,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Survived,2nd Class,male,1
Survived,1st Class,female,1
Survived,1st Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Survived,1st Class,female,1
Deceased,3rd Class,female,1
Survived,3rd Class,male,1
Survived,2nd Class,female,1
Survived,1st Class,female,1
Deceased,2nd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Deceased,2nd Class,male,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,male,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,male,1
Survived,2nd Class,female,1
Survived,1st Class,female,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Survived,2nd Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,male,1
Survived,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,2nd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,female,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,female,1
Survived,3rd Class,male,1
Survived,3rd Class,female,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Deceased,1st Class,male,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Survived,2nd Class,female,1
Deceased,1st Class,male,1
Deceased,2nd Class,male,1
Survived,2nd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,female,1
Survived,1st Class,male,1
Deceased,3rd Class,female,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Survived,1st Class,male,1
Survived,3rd Class,female,1
Survived,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Survived,1st Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Survived,2nd Class,female,1
Survived,1st Class,male,1
Survived,1st Class,female,1
Survived,3rd Class,male,1
Survived,1st Class,female,1
Deceased,1st Class,male,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,2nd Class,male,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Survived,3rd Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,female,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,2nd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,male,1
Deceased,1st Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Survived,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Survived,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Deceased,1st Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,2nd Class,female,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Survived,3rd Class,female,1
Survived,1st Class,female,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,female,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Survived,1st Class,female,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Survived,2nd Class,female,1
Survived,1st Class,male,1
Survived,3rd Class,male,1
Survived,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Deceased,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,1st Class,male,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Survived,3rd Class,male,1
Deceased,1st Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,male,1
Survived,3rd Class,male,1
Survived,1st Class,female,1
Survived,3rd Class,female,1
Survived,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Survived,1st Class,female,1
Deceased,2nd Class,female,1
Survived,3rd Class,female,1
Survived,1st Class,female,1
Survived,1st Class,male,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,2nd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Survived,2nd Class,female,1
Survived,2nd Class,female,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Survived,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Deceased,1st Class,male,1
Deceased,3rd Class,male,1
Survived,2nd Class,female,1
Survived,3rd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,male,1
Survived,1st Class,female,1
Survived,2nd Class,female,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Deceased,3rd Class,male,1
Deceased,3rd Class,female,1
Deceased,2nd Class,male,1
Survived,1st Class,female,1
Deceased,3rd Class,female,1
Survived,1st Class,male,1
Deceased,3rd Class,male,1
